topic,event,event_date,lag_days,correlation,p_value,significant,interpretation,severity
Academy_Awards,95th Oscars,2023-03-12,-4,-0.12041307206978544,0.681779446301761,False,Not significant,medium
Academy_Awards,95th Oscars,2023-03-12,-3,0.07023088883274702,0.8035837167272724,False,Not significant,medium
Academy_Awards,95th Oscars,2023-03-12,-2,-0.04956916626172594,0.8553443493763454,False,Not significant,medium
Academy_Awards,95th Oscars,2023-03-12,-1,0.9774162690534134,1.547384819897298e-11,True,Edits spike 1 days BEFORE event (anticipation),medium
Academy_Awards,95th Oscars,2023-03-12,0,0.03172387164118138,0.9005543959966507,False,Not significant,medium
Academy_Awards,95th Oscars,2023-03-12,1,0.9774162690534134,1.547384819897298e-11,True,Edits spike 1 days AFTER event (reaction),medium
Academy_Awards,95th Oscars,2023-03-12,2,-0.04956916626172594,0.8553443493763454,False,Not significant,medium
Academy_Awards,95th Oscars,2023-03-12,3,0.07023088883274702,0.8035837167272724,False,Not significant,medium
Academy_Awards,95th Oscars,2023-03-12,4,-0.12041307206978544,0.681779446301761,False,Not significant,medium
Academy_Awards,95th Oscars,2023-03-12,5,-0.05542412514774765,0.857281881123063,False,Not significant,medium
